date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ,psTTM,pcfNcfTTM
1996-10-28,sz.000623,20.0000,23.5000,20.0000,22.2100,7.2000,10434083,227681572.9100,3,57.967128,1,208.472200,0,61.311831,11.716963,9.185026,0.000000
1996-10-29,sz.000623,21.7800,21.8800,20.5000,20.8000,22.2100,2127121,45122068.4300,3,11.817339,1,-6.348492,0,57.419455,10.973113,8.601915,0.000000
1996-10-30,sz.000623,20.0000,20.5000,19.7000,20.2500,20.8000,942442,18835329.0000,3,5.235789,1,-2.644227,0,55.901152,10.682958,8.374461,0.000000
1996-10-31,sz.000623,20.0000,20.3300,19.8000,20.1000,20.2500,365300,7327557.2300,3,2.029444,1,-0.740739,0,55.487069,10.603825,8.312427,0.000000
1996-11-01,sz.000623,19.9000,19.9000,19.0000,19.9000,20.1000,285427,5628964.9800,3,1.585706,1,-0.995029,0,54.934959,10.498314,8.229717,0.000000
1996-11-04,sz.000623,18.8000,20.2000,18.8000,19.9100,19.9000,566531,11320644.1200,3,3.147394,1,0.050252,0,54.962565,10.503590,8.233852,0.000000
1996-11-05,sz.000623,20.0000,20.0600,19.5600,19.9300,19.9100,239147,4750455.5400,3,1.328594,1,0.100454,0,55.017776,10.514141,8.242123,0.000000
1996-11-06,sz.000623,19.7000,19.8900,19.2000,19.2300,19.9300,149803,2919944.0700,3,0.832239,1,-3.512297,0,53.085390,10.144854,7.952636,0.000000
1996-11-07,sz.000623,19.0000,19.5000,19.0000,19.0000,19.2300,105512,2015655.0300,3,0.586178,1,-1.196046,0,52.450464,10.023516,7.857519,0.000000
1996-11-08,sz.000623,19.3000,19.5000,19.0000,19.0000,19.0000,150437,2881981.7400,3,0.835761,1,0.000000,0,52.450464,10.023516,7.857519,0.000000
1996-11-11,sz.000623,19.0200,19.9800,18.9800,19.6800,19.0000,488209,9592397.7300,3,2.712272,1,3.578949,0,54.327638,10.382253,8.138735,0.000000
1996-11-12,sz.000623,19.3800,19.5000,19.0000,19.2500,19.6800,220251,4227504.9200,3,1.223617,1,-2.184961,0,53.140601,10.155405,7.960907,0.000000
1996-11-13,sz.000623,19.2000,20.1000,19.2000,19.8800,19.2500,608868,12027549.9000,3,3.382600,1,3.272723,0,54.879748,10.487763,8.221446,0.000000
